dpqs, 100.000000, 611.000000, 439.000000, 0.000000
quick, 100.000000, 679.000000, 551.000000, 0.000000
dpqs, 200.000000, 1299.000000, 880.000000, 0.000000
quick, 200.000000, 1450.000000, 916.000000, 0.000000
dpqs, 300.000000, 2069.000000, 1386.000000, 0.000000
quick, 300.000000, 2534.000000, 1554.000000, 0.000000
dpqs, 400.000000, 3158.000000, 2017.000000, 0.000000
quick, 400.000000, 3615.000000, 2393.000000, 0.000000
dpqs, 500.000000, 4039.000000, 2524.000000, 0.000000
quick, 500.000000, 4407.000000, 2704.000000, 0.000000
dpqs, 600.000000, 4916.000000, 3342.000000, 0.000000
quick, 600.000000, 6019.000000, 4041.000000, 0.002000
dpqs, 700.000000, 5862.000000, 3791.000000, 0.000000
quick, 700.000000, 7328.000000, 5214.000000, 0.000000
dpqs, 800.000000, 7305.000000, 4857.000000, 0.000000
quick, 800.000000, 7983.000000, 4947.000000, 0.000000
dpqs, 900.000000, 8240.000000, 5316.000000, 0.000000
quick, 900.000000, 9739.000000, 5859.000000, 0.000000
dpqs, 1000.000000, 9704.000000, 6029.000000, 0.000000
quick, 1000.000000, 11018.000000, 7556.000000, 0.001000
dpqs, 1100.000000, 11318.000000, 8269.000000, 0.000000
quick, 1100.000000, 11505.000000, 7974.000000, 0.000000
dpqs, 1200.000000, 11208.000000, 7490.000000, 0.000000
quick, 1200.000000, 12887.000000, 8678.000000, 0.000000
dpqs, 1300.000000, 12707.000000, 8271.000000, 0.000000
quick, 1300.000000, 14014.000000, 8895.000000, 0.001000
dpqs, 1400.000000, 13527.000000, 8331.000000, 0.000000
quick, 1400.000000, 15760.000000, 10882.000000, 0.000000
dpqs, 1500.000000, 15286.000000, 10108.000000, 0.000000
quick, 1500.000000, 18644.000000, 11493.000000, 0.001000
dpqs, 1600.000000, 16628.000000, 9230.000000, 0.000000
quick, 1600.000000, 19141.000000, 13179.000000, 0.000000
dpqs, 1700.000000, 17045.000000, 11033.000000, 0.001000
quick, 1700.000000, 19812.000000, 12648.000000, 0.000000
dpqs, 1800.000000, 18356.000000, 10972.000000, 0.000000
quick, 1800.000000, 20326.000000, 13388.000000, 0.000000
dpqs, 1900.000000, 19852.000000, 13608.000000, 0.001000
quick, 1900.000000, 23206.000000, 14742.000000, 0.000000
dpqs, 2000.000000, 21361.000000, 12938.000000, 0.000000
quick, 2000.000000, 24563.000000, 15410.000000, 0.001000
dpqs, 2100.000000, 22022.000000, 15122.000000, 0.000000
quick, 2100.000000, 27110.000000, 20471.000000, 0.000000
dpqs, 2200.000000, 23776.000000, 17278.000000, 0.001000
quick, 2200.000000, 28899.000000, 19546.000000, 0.000000
dpqs, 2300.000000, 24920.000000, 15134.000000, 0.001000
quick, 2300.000000, 30863.000000, 22390.000000, 0.000000
dpqs, 2400.000000, 25446.000000, 18004.000000, 0.000000
quick, 2400.000000, 30748.000000, 20188.000000, 0.001000
dpqs, 2500.000000, 27513.000000, 18019.000000, 0.000000
quick, 2500.000000, 30188.000000, 20218.000000, 0.001000
dpqs, 2600.000000, 27375.000000, 18688.000000, 0.000000
quick, 2600.000000, 33175.000000, 21564.000000, 0.001000
dpqs, 2700.000000, 32988.000000, 18759.000000, 0.000000
quick, 2700.000000, 35795.000000, 23704.000000, 0.001000
dpqs, 2800.000000, 30053.000000, 19756.000000, 0.001000
quick, 2800.000000, 36267.000000, 25945.000000, 0.000000
dpqs, 2900.000000, 32134.000000, 21337.000000, 0.001000
quick, 2900.000000, 38233.000000, 24514.000000, 0.000000
dpqs, 3000.000000, 34271.000000, 22863.000000, 0.001000
quick, 3000.000000, 39151.000000, 25453.000000, 0.000000
dpqs, 3100.000000, 35019.000000, 22333.000000, 0.001000
quick, 3100.000000, 39218.000000, 25298.000000, 0.001000
dpqs, 3200.000000, 37756.000000, 23705.000000, 0.000000
quick, 3200.000000, 45564.000000, 28118.000000, 0.001000
dpqs, 3300.000000, 37875.000000, 26988.000000, 0.001000
quick, 3300.000000, 44115.000000, 31444.000000, 0.001000
dpqs, 3400.000000, 38312.000000, 25533.000000, 0.000000
quick, 3400.000000, 44556.000000, 29592.000000, 0.001000
