insert, 1.000000, 1.000000, 1.000000, 0.000000
merge, 1.000000, 0.000000, 0.000000, 0.000000
quick, 1.000000, 0.000000, 0.000000, 0.000000
insert, 2.000000, 2.515000, 2.515000, 0.000000
merge, 2.000000, 1.000000, 0.000000, 0.000000
quick, 2.000000, 1.000000, 2.513000, 0.000000
insert, 3.000000, 4.524000, 4.524000, 0.000000
merge, 3.000000, 2.671000, 0.000000, 0.000000
quick, 3.000000, 2.673000, 4.704000, 0.000000
insert, 4.000000, 7.047000, 7.047000, 0.000000
merge, 4.000000, 4.662000, 0.000000, 0.000000
quick, 4.000000, 4.840000, 7.173000, 0.000000
insert, 5.000000, 10.069000, 10.069000, 0.000000
merge, 5.000000, 7.190000, 0.000000, 0.000002
quick, 5.000000, 7.490000, 9.897000, 0.000001
insert, 6.000000, 13.550000, 13.550000, 0.000000
merge, 6.000000, 9.853000, 0.000000, 0.000000
quick, 6.000000, 10.311000, 12.490000, 0.000001
insert, 7.000000, 17.565000, 17.565000, 0.000000
merge, 7.000000, 12.729000, 0.000000, 0.000001
quick, 7.000000, 13.519000, 15.476000, 0.000000
insert, 8.000000, 22.119000, 22.119000, 0.000000
merge, 8.000000, 15.724000, 0.000000, 0.000000
quick, 8.000000, 16.936000, 18.399000, 0.000002
insert, 9.000000, 27.069000, 27.069000, 0.000000
merge, 9.000000, 19.230000, 0.000000, 0.000001
quick, 9.000000, 20.538000, 21.742000, 0.000001
insert, 10.000000, 32.618000, 32.618000, 0.000000
merge, 10.000000, 22.710000, 0.000000, 0.000002
quick, 10.000000, 24.616000, 25.159000, 0.000000
insert, 11.000000, 38.601000, 38.601000, 0.000000
merge, 11.000000, 26.365000, 0.000000, 0.000001
quick, 11.000000, 28.470000, 28.275000, 0.000001
insert, 12.000000, 45.100000, 45.100000, 0.000000
merge, 12.000000, 30.018000, 0.000000, 0.000003
quick, 12.000000, 32.812000, 31.704000, 0.000001
insert, 13.000000, 52.146000, 52.146000, 0.000000
merge, 13.000000, 33.848000, 0.000000, 0.000003
quick, 13.000000, 37.122000, 35.132000, 0.000003
insert, 14.000000, 59.646000, 59.646000, 0.000001
merge, 14.000000, 37.712000, 0.000000, 0.000002
quick, 14.000000, 41.701000, 39.218000, 0.000003
insert, 15.000000, 67.647000, 67.647000, 0.000000
merge, 15.000000, 41.665000, 0.000000, 0.000003
quick, 15.000000, 46.230000, 42.476000, 0.000000
insert, 16.000000, 76.183000, 76.183000, 0.000000
merge, 16.000000, 45.687000, 0.000000, 0.000000
quick, 16.000000, 50.938000, 45.826000, 0.000003
insert, 17.000000, 85.064000, 85.064000, 0.000001
merge, 17.000000, 50.225000, 0.000000, 0.000001
quick, 17.000000, 55.660000, 49.598000, 0.000001
insert, 18.000000, 94.566000, 94.566000, 0.000001
merge, 18.000000, 54.610000, 0.000000, 0.000001
quick, 18.000000, 60.693000, 53.808000, 0.000000
insert, 19.000000, 104.582000, 104.582000, 0.000000
merge, 19.000000, 59.068000, 0.000000, 0.000000
quick, 19.000000, 66.100000, 57.951000, 0.000003
insert, 20.000000, 115.343000, 115.343000, 0.000001
merge, 20.000000, 63.607000, 0.000000, 0.000000
quick, 20.000000, 71.332000, 61.709000, 0.000003
insert, 21.000000, 126.415000, 126.415000, 0.000001
merge, 21.000000, 68.287000, 0.000000, 0.000002
quick, 21.000000, 77.093000, 66.055000, 0.000002
insert, 22.000000, 137.947000, 137.947000, 0.000000
merge, 22.000000, 72.896000, 0.000000, 0.000001
quick, 22.000000, 80.967000, 69.175000, 0.000001
insert, 23.000000, 149.947000, 149.947000, 0.000001
merge, 23.000000, 77.562000, 0.000000, 0.000001
quick, 23.000000, 86.747000, 72.698000, 0.000001
insert, 24.000000, 162.372000, 162.372000, 0.000003
merge, 24.000000, 82.200000, 0.000000, 0.000002
quick, 24.000000, 92.844000, 78.070000, 0.000002
insert, 25.000000, 175.402000, 175.402000, 0.000001
merge, 25.000000, 87.138000, 0.000000, 0.000002
quick, 25.000000, 98.676000, 81.742000, 0.000000
insert, 26.000000, 189.010000, 189.010000, 0.000001
merge, 26.000000, 92.069000, 0.000000, 0.000002
quick, 26.000000, 102.877000, 85.162000, 0.000005
insert, 27.000000, 203.240000, 203.240000, 0.000000
