S, 590, 1301, 1846, 1704.270020, 103.904770
R, 590, 869, 3386, 1789.609985, 517.150940
S, 600, 1200, 1853, 1691.949951, 137.948761
R, 600, 801, 3651, 1847.069946, 588.625427
S, 610, 1323, 1887, 1733.209961, 119.513519
R, 610, 609, 3738, 1941.969971, 597.747131
S, 620, 1458, 1960, 1793.550049, 86.712006
R, 620, 812, 3752, 1973.829956, 686.286621
S, 630, 1417, 1961, 1809.810059, 100.685410
R, 630, 965, 4079, 2033.290039, 594.390991
S, 640, 1426, 1981, 1829.319946, 115.591019
R, 640, 828, 4199, 1924.989990, 663.377930
S, 650, 1293, 2014, 1852.089966, 136.747971
R, 650, 863, 3494, 1910.089966, 568.705627
S, 660, 1475, 2057, 1903.660034, 104.755547
R, 660, 963, 3987, 2013.599976, 605.234802
S, 670, 1482, 2087, 1923.170044, 115.355896
R, 670, 969, 4108, 2055.340088, 667.313721
S, 680, 1509, 2123, 1972.660034, 90.412331
R, 680, 952, 4035, 2092.459961, 689.563110
S, 690, 1485, 2171, 1976.719971, 124.543800
R, 690, 936, 3283, 2041.750000, 541.279419
S, 700, 1567, 2155, 1999.469971, 128.635483
R, 700, 916, 4639, 2162.300049, 655.005737
S, 710, 1418, 2207, 2028.680054, 164.494644
R, 710, 1045, 4776, 2234.729980, 771.797180
S, 720, 1641, 2256, 2068.969971, 110.318901
R, 720, 719, 3968, 2107.899902, 675.737000
S, 730, 1582, 2250, 2081.280029, 131.373291
R, 730, 729, 4752, 2242.250000, 688.460938
S, 740, 1638, 2279, 2120.020020, 125.162361
R, 740, 1155, 4067, 2305.000000, 679.731567
S, 750, 1638, 2359, 2151.879883, 117.690147
R, 750, 996, 4574, 2254.010010, 670.137207
S, 760, 1722, 2384, 2177.280029, 136.916672
R, 760, 1005, 5724, 2469.159912, 794.198242
S, 770, 1606, 2478, 2218.419922, 147.210907
R, 770, 1094, 3894, 2384.409912, 653.919250
S, 780, 1592, 2464, 2236.860107, 164.089493
R, 780, 1170, 5363, 2339.550049, 828.889648
S, 790, 1806, 2486, 2269.199951, 150.730164
R, 790, 1202, 4431, 2331.139893, 799.187256
S, 800, 1802, 2493, 2325.929932, 156.108780
R, 800, 1157, 4282, 2445.810059, 664.859131
S, 810, 1843, 2510, 2348.389893, 127.874596
R, 810, 1062, 5337, 2431.270020, 803.715820
S, 820, 1838, 2629, 2373.560059, 133.419067
R, 820, 1077, 5012, 2507.530029, 716.259460
S, 830, 1887, 2564, 2413.939941, 135.181213
R, 830, 1060, 5012, 2544.510010, 856.063538
S, 840, 1919, 2615, 2441.810059, 109.968803
R, 840, 1075, 4393, 2527.370117, 738.763672
S, 850, 1903, 2666, 2482.010010, 122.222382
R, 850, 1089, 5971, 2656.629883, 887.259644
S, 860, 1934, 2700, 2506.790039, 104.478226
R, 860, 1109, 5795, 2644.520020, 821.804932
S, 870, 1895, 2719, 2519.010010, 175.553619
R, 870, 1163, 5184, 2716.600098, 835.795959
S, 880, 1809, 2725, 2563.159912, 141.602493
R, 880, 1303, 5235, 2828.459961, 776.998230
S, 890, 1915, 2793, 2549.620117, 180.038208
R, 890, 1167, 5381, 2711.600098, 891.358154
S, 900, 2036, 2804, 2603.110107, 145.503494
R, 900, 1301, 6355, 2836.479980, 855.819702
S, 910, 2037, 2900, 2650.810059, 139.606705
R, 910, 1176, 5679, 2771.889893, 984.217651
S, 920, 1830, 2892, 2671.409912, 169.683762
R, 920, 1474, 5075, 2839.780029, 777.683350
S, 930, 2057, 2909, 2713.840088, 152.031174
R, 930, 1198, 5340, 2766.030029, 886.740601
S, 940, 1797, 2965, 2730.969971, 177.748474
R, 940, 1478, 5750, 2793.540039, 873.095093
S, 950, 2147, 2992, 2782.159912, 154.771515
R, 950, 1264, 5357, 2936.340088, 974.982483
S, 960, 2153, 2993, 2789.100098, 149.601624
R, 960, 1265, 5516, 2847.040039, 944.615295
S, 970, 2052, 3075, 2784.629883, 218.820511
R, 970, 1378, 5662, 2939.060059, 925.463135
S, 980, 2197, 3071, 2872.229980, 149.378510
R, 980, 1640, 5835, 3122.810059, 889.098022
S, 990, 2110, 3115, 2900.659912, 165.142593
R, 990, 1359, 7008, 2959.189941, 1056.030762
S, 1000, 2309, 3163, 2947.520020, 131.098190
R, 1000, 1362, 5955, 3084.560059, 1044.540161
S, 1010, 2274, 3176, 2971.850098, 174.922836
R, 1010, 1558, 5812, 3245.050049, 1010.408936
S, 1020, 2315, 3207, 3016.300049, 131.890167
R, 1020, 1359, 5538, 3048.429932, 898.382385
S, 1030, 2359, 3266, 3038.370117, 150.615509
R, 1030, 1029, 7476, 3140.250000, 1070.423706
S, 1040, 2298, 3280, 3068.879883, 150.164124
R, 1040, 1321, 4821, 2989.669922, 818.607788
S, 1050, 2335, 3313, 3110.310059, 178.897568
R, 1050, 1049, 6154, 3263.879883, 979.374878
S, 1060, 2393, 3344, 3138.129883, 176.934555
R, 1060, 1406, 6262, 3380.469971, 1056.291504
S, 1070, 2323, 3394, 3138.860107, 213.317200
R, 1070, 1444, 6137, 3308.590088, 1015.264343
S, 1080, 2483, 3394, 3170.580078, 171.944672
R, 1080, 1362, 6748, 3507.760010, 1088.056396
S, 1090, 2460, 3429, 3217.129883, 168.384430
R, 1090, 1376, 5022, 3152.419922, 810.084351
S, 1100, 2561, 3437, 3268.129883, 131.696884
R, 1100, 1099, 8910, 3225.149902, 1210.737793
S, 1110, 2447, 3511, 3268.949951, 199.236588
R, 1110, 1656, 5908, 3338.780029, 1062.496582
S, 1120, 2429, 3551, 3302.209961, 194.954803
R, 1120, 1687, 6286, 3684.149902, 1047.605591
S, 1130, 2582, 3587, 3336.010010, 185.944122
R, 1130, 1537, 5649, 3404.919922, 906.888794
S, 1140, 2579, 3636, 3341.870117, 208.835144
R, 1140, 1540, 6648, 3511.070068, 1073.349854
S, 1150, 2306, 3627, 3406.189941, 187.499557
R, 1150, 1673, 6500, 3482.600098, 1150.273682
S, 1160, 2602, 3669, 3425.100098, 193.218323
R, 1160, 1777, 7213, 3616.959961, 1131.258423
S, 1170, 2562, 3680, 3458.780029, 196.574951
R, 1170, 1680, 5968, 3550.379883, 1043.881592
S, 1180, 2423, 3700, 3487.610107, 197.685959
R, 1180, 1617, 7435, 3674.760010, 1311.622192
S, 1190, 2715, 3801, 3509.830078, 205.778580
R, 1190, 1189, 6905, 3734.909912, 1306.288208
S, 1200, 2484, 3786, 3505.939941, 250.252121
R, 1200, 1707, 8205, 4078.739990, 1272.079468
S, 1210, 2787, 3810, 3573.959961, 223.933472
R, 1210, 1674, 6581, 3642.879883, 1125.313354
S, 1220, 2686, 3874, 3599.689941, 228.957047
R, 1220, 1808, 6252, 3712.189941, 1076.449585
S, 1230, 2716, 3900, 3664.370117, 173.797714
R, 1230, 1867, 7753, 3831.219971, 1294.191895
S, 1240, 2855, 3889, 3639.070068, 212.626526
R, 1240, 1840, 8935, 3901.429932, 1294.747314
S, 1250, 2483, 3961, 3671.120117, 279.333282
R, 1250, 1612, 7798, 3722.570068, 1190.384033
S, 1260, 2774, 4017, 3744.530029, 210.411163
R, 1260, 1670, 7140, 3642.439941, 1108.602905
S, 1270, 2889, 4011, 3773.989990, 215.744186
R, 1270, 1611, 8074, 3946.000000, 1204.005005
S, 1280, 2982, 4023, 3798.649902, 190.643433
R, 1280, 1890, 7149, 3919.110107, 1192.438721
S, 1290, 2699, 4056, 3822.429932, 237.470871
R, 1290, 1656, 6198, 3887.699951, 1111.558838
S, 1300, 3016, 4127, 3881.590088, 175.850479
R, 1300, 1710, 7260, 3987.879883, 1260.353882
S, 1310, 2831, 4124, 3906.489990, 157.778183
R, 1310, 1867, 8096, 4114.229980, 1264.219727
S, 1320, 2726, 4182, 3892.500000, 278.017548
R, 1320, 1810, 8688, 4315.640137, 1400.969727
S, 1330, 3085, 4208, 3978.550049, 170.834747
R, 1330, 2124, 7970, 4204.410156, 1215.491333
S, 1340, 3088, 4213, 4014.050049, 172.409988
R, 1340, 2022, 8227, 4097.580078, 1243.264893
S, 1350, 3021, 4245, 3972.810059, 267.556061
R, 1350, 1965, 9363, 4213.689941, 1304.634521
S, 1360, 3138, 4256, 4032.830078, 186.031082
R, 1360, 2055, 7486, 4308.149902, 1238.838379
S, 1370, 3225, 4300, 4084.850098, 146.009171
R, 1370, 2168, 8716, 4264.500000, 1325.308960
S, 1380, 3175, 4387, 4109.870117, 225.436508
R, 1380, 1806, 8997, 4386.120117, 1391.812622
S, 1390, 2862, 4406, 4149.779785, 220.562317
R, 1390, 2118, 8155, 4396.810059, 1313.409790
S, 1400, 3218, 4433, 4170.080078, 208.499741
R, 1400, 1772, 8747, 4351.790039, 1303.856323
S, 1410, 3281, 4524, 4215.100098, 171.415192
R, 1410, 1891, 8983, 4280.490234, 1324.101685
S, 1420, 3125, 4516, 4204.569824, 229.404861
R, 1420, 1876, 7663, 4487.069824, 1249.769775
S, 1430, 2963, 4519, 4286.350098, 190.994339
R, 1430, 1878, 8759, 4447.490234, 1397.363403
S, 1440, 2971, 4585, 4272.029785, 274.473145
R, 1440, 2222, 9338, 4528.850098, 1512.728271
S, 1450, 3288, 4531, 4326.979980, 186.365906
R, 1450, 2107, 8248, 4360.640137, 1326.078247
S, 1460, 3258, 4640, 4361.770020, 246.840637
R, 1460, 2159, 8659, 4632.310059, 1423.453369
S, 1470, 3450, 4819, 4372.490234, 229.475815
R, 1470, 2181, 10805, 4365.140137, 1457.450317
S, 1480, 3376, 4772, 4388.379883, 284.098572
R, 1480, 2360, 8372, 4461.950195, 1269.846680
S, 1490, 3090, 4813, 4418.660156, 287.788849
R, 1490, 1489, 8730, 4398.899902, 1323.192261
S, 1500, 3359, 4740, 4457.520020, 275.520020
R, 1500, 2033, 9981, 4643.290039, 1615.627930
S, 1510, 3502, 4817, 4493.100098, 247.534866
R, 1510, 2474, 7707, 4504.000000, 1212.133667
S, 1520, 3125, 4811, 4543.919922, 242.329819
R, 1520, 1916, 9843, 4613.439941, 1601.902588
S, 1530, 3371, 4831, 4550.620117, 284.732422
R, 1530, 2105, 9882, 4775.529785, 1557.719849
S, 1540, 3606, 4954, 4597.310059, 208.873703
R, 1540, 2196, 11417, 4673.830078, 1712.171265
