insert, 10.000000, 29.000000, 29.000000, 0.000000, 12.000000
merge, 10.000000, 24.000000, 0.000000, 0.000000, 352.000000
quick, 10.000000, 19.000000, 22.000000, 0.000000, 148.000000
radix, 10.000000, 0.000000, 30.000000, 0.000000, 264.000000
insert, 50.000000, 602.000000, 602.000000, 0.000000, 12.000000
merge, 50.000000, 223.000000, 0.000000, 0.000000, 2320.000000
quick, 50.000000, 226.000000, 168.000000, 0.000000, 1044.000000
radix, 50.000000, 0.000000, 150.000000, 0.000000, 744.000000
insert, 100.000000, 2560.000000, 2560.000000, 0.000000, 12.000000
merge, 100.000000, 537.000000, 0.000000, 0.000000, 5064.000000
quick, 100.000000, 612.000000, 437.000000, 0.000000, 2564.000000
radix, 100.000000, 0.000000, 300.000000, 0.000000, 1344.000000
insert, 500.000000, 62763.000000, 62763.000000, 0.001000, 12.000000
merge, 500.000000, 3849.000000, 0.000000, 0.000000, 29928.000000
quick, 500.000000, 4658.000000, 3161.000000, 0.000000, 16652.000000
radix, 500.000000, 0.000000, 1500.000000, 0.000000, 6144.000000
insert, 1000.000000, 257740.000000, 257740.000000, 0.001000, 12.000000
merge, 1000.000000, 8710.000000, 0.000000, 0.001000, 63880.000000
quick, 1000.000000, 10408.000000, 6783.000000, 0.000000, 35064.000000
radix, 1000.000000, 0.000000, 3000.000000, 0.000000, 12144.000000
insert, 5000.000000, 6230376.000000, 6230376.000000, 0.033000, 12.000000
merge, 5000.000000, 55194.000000, 0.000000, 0.001000, 367208.000000
quick, 5000.000000, 82455.000000, 54338.000000, 0.001000, 266024.000000
radix, 5000.000000, 0.000000, 15000.000000, 0.000000, 60144.000000
insert, 10000.000000, 24986891.000000, 24986891.000000, 0.138000, 12.000000
merge, 10000.000000, 120455.000000, 0.000000, 0.001000, 774440.000000
quick, 10000.000000, 171193.000000, 124976.000000, 0.003000, 607904.000000
radix, 10000.000000, 0.000000, 30000.000000, 0.000000, 120144.000000
insert, 50000.000000, 627122766.000000, 627122766.000000, 3.920000, 12.000000
merge, 50000.000000, 718176.000000, 0.000000, 0.012000, 4337832.000000
quick, 50000.000000, 1853104.000000, 1647583.000000, 0.027000, 7178332.000000
radix, 50000.000000, 0.000000, 150000.000000, 0.003000, 600144.000000
insert, 100000.000000, 1227122766.000000, 1227122766.000000, 16.608000, 12.000000
merge, 100000.000000, 1536062.000000, 0.000000, 0.025000, 9075688.000000
quick, 100000.000000, 6395634.000000, 5831853.000000, 0.085000, 24515412.000000
radix, 100000.000000, 0.000000, 300000.000000, 0.005000, 1200144.000000
